,GRASIM INDUSTRIES LTD,GRASIM
,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,GSFC
,HAVELLS INDIA LIMITED,HAVELLS
,HINDUSTAN CONSTRUCTION COMPANY LIMITED,HCC
,HCL TECHNOLOGIES LTD,HCLTECH
,HDFC LTD,HDFC
,HDFC BANK LTD,HDFCBANK
,HERO MOTOCORP LIMITED,HEROMOTOCO
,HEXAWARE TECHNOLOGIES LTD,HEXAWARE
,HINDALCO INDUSTRIES LTD,HINDALCO
,HINDUSTAN PETROLEUM CORP,HINDPETRO
,HINDUSTAN UNILEVER LTD.,HINDUNILVR
,HINDUSTAN ZINC LIMITED,HINDZINC
,INDIABULLS HSG FIN LTD,IBULHSGFIN
,ICICI BANK LTD.,ICICIBANK
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
,IDBI BANK LIMITED,IDBI
,IDEA CELLULAR LIMITED,IDEA
,IDFC LIMITED,IDFC
,IDFC BANK LIMITED,IDFCBANK
,IFCI LTD,IFCI
,INDRAPRASTHA GAS LTD,IGL
,THE INDIA CEMENTS LIMITED,INDIACEM
,INDIAN BANK,INDIANB
,INTERGLOBE AVIATION LIMITED,INDIGO
,INDUSIND BANK LIMITED,INDUSINDBK
,INFIBEAM INCORPORATION LIMITED,INFIBEAM
,BHARTI INFRATEL LTD.,INFRATEL
,INFOSYS LIMITED,INFY
,INDIAN OIL CORP LTD,IOC
,IRB INFRA DEV LTD.,IRB
,ITC LTD,ITC
,JET AIRWAYS (INDIA) LTD.,JETAIRWAYS
,JINDAL STEEL & POWER LTD,JINDALSTEL
,JAIN IRRIGATION SYSTEMS,JISLJALEQS
,JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT
,JSW STEEL LIMITED,JSWSTEEL
,JUBILANT FOODWORKS LTD,JUBLFOOD
,JUSTDIAL LTD.,JUSTDIAL
,KAJARIA CERAMICS LIMITED,KAJARIACER
,KOTAK MAHINDRA BANK LTD,KOTAKBANK
,KPIT TECHNOLOGIES LTD,KPIT
,KAVERI SEED CO. LTD.,KSCL
,KARNATAKA BANK LIMITED,KTKBANK
,L&T FINANCE HOLDINGS LTD,L&TFH
,LIC HOUSING FINANCE LTD,LICHSGFIN
,LARSEN & TOUBRO LTD.,LT
,LUPIN LIMITED,LUPIN
,MAHINDRA & MAHINDRA LTD,M&M
,M&M FIN. SERVICES LTD,M&MFIN
,MANAPPURAM FINANCE LIMITED,MANAPPURAM
,MARICO LIMITED,MARICO
,MARUTI SUZUKI INDIA LTD.,MARUTI
,UNITED SPIRITS LIMITED,MCDOWELL-N
,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
,MAX FINANCIAL SERVICES LIMITED,MFSL
,MAHANAGAR GAS LIMITED,MGL
,MINDTREE LIMITED,MINDTREE
,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI
,MRF LTD,MRF
,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
,NBCC (INDIA) LIMITED,NBCC
,NCC LIMITED,NCC
,NESTLE INDIA LIMITED,NESTLEIND
,NHPC LTD,NHPC
,NIIT TECHNOLOGIES LTD,NIITTECH
,NMDC LTD.,NMDC
,NTPC LTD,NTPC
,ORACLE FIN SERV SOFT LTD.,OFSS
,OIL INDIA LTD,OIL
,OIL AND NATURAL GAS CORP.,ONGC
,ORIENTAL BANK OF COMMERCE,ORIENTBANK
,PAGE INDUSTRIES LTD,PAGEIND
,PC JEWELLER LTD,PCJEWELLER
,PIRAMAL ENTERPRISES LIMITED,PEL
,PETRONET LNG LIMITED,PETRONET
,POWER FIN CORP LTD.,PFC
,PIDILITE INDUSTRIES LTD,PIDILITIND
,PUNJAB NATIONAL BANK,PNB
,POWER GRID CORP. LTD.,POWERGRID
,PTC INDIA LIMITED,PTC
,PVR LIMITED,PVR
,THE RAMCO CEMENTS LIMITED,RAMCOCEM
,RAYMOND LIMITED,RAYMOND
,RBL BANK LIMITED,RBLBANK
,RELIANCE COMMUNICATIONS L,RCOM
,RURAL ELEC CORP. LTD.,RECLTD
,RELIANCE CAPITAL LTD,RELCAPITAL
,RELIANCE INDUSTRIES LTD,RELIANCE
,RELIANCE INFRASTRUCTU LTD,RELINFRA
,REPCO HOME FINANCE LIMITED,REPCOHOME
,RELIANCE POWER LTD.,RPOWER
,STEEL AUTHORITY OF INDIA,SAIL
,STATE BANK OF INDIA,SBIN
,SHREE CEMENTS LIMITED,SHREECEM
,SIEMENS LTD,SIEMENS
,THE SOUTH INDIAN BANK LTD,SOUTHBANK
,SREI INFRASTRUCTURE FINANCE LIMITED,SREINFRA
,SRF LTD,SRF
,SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN
,STRIDES SHASUN LIMITED,STAR
,SUN PHARMACEUTICALS IND.,SUNPHARMA
,SUN TV NETWORK LIMITED,SUNTV
,SUZLON ENERGY LIMITED,SUZLON
,SYNDICATE BANK,SYNDIBANK
,TATA CHEMICALS LTD,TATACHEM
,TATA COMMUNICATIONS LTD,TATACOMM
,TATA ELXSI LIMITED,TATAELXSI
,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL
,TATA MOTORS LIMITED,TATAMOTORS
,TATA MOTORS DVR 'A' ORD,TATAMTRDVR
,TATA POWER CO LTD,TATAPOWER
,TATA STEEL LIMITED,TATASTEEL
,TATA CONSULTANCY SERV LT,TCS
,TECH MAHINDRA LIMITED,TECHM
,TITAN COMPANY LIMITED,TITAN
,TORRENT PHARMACEUTICALS L,TORNTPHARM
,TORRENT POWER LTD,TORNTPOWER
,TV18 BROADCAST LIMITED,TV18BRDCST
,TVS MOTOR COMPANY LTD,TVSMOTOR
,UNITED BREWERIES LTD,UBL
,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
,ULTRATECH CEMENT LIMITED,ULTRACEMCO
,UNION BANK OF INDIA,UNIONBANK
,UPL LIMITED,UPL
,VEDANTA LIMITED,VEDL
,V-GUARD INDUSTRIES LIMITED,VGUARD
,VOLTAS LTD,VOLTAS
,WIPRO LTD,WIPRO
,WOCKHARDT LIMITED,WOCKPHARMA
,YES BANK LIMITED,YESBANK
,ZEE ENTERTAINMENT ENT LTD,ZEEL
